Country,Date_of_Consumption_and_Loss_Electricity,Electricity_Consumption,Loss_electricity,Year_of_Emissions_of_CarbonDioxide_Electricity,Emissions_CarbonDioxide_ElectricityGeneration
Gibraltar,2018,204.00M,6.50M,2021,130.00K
Guadeloupe,2016,1.56B,232.00M,2021,1.04M
Greece,2018,49.47B,5.24B,2021,16.55M
French Guiana,2016,835.00M,92.00M,2021,492.00K
Croatia,2018,16.17B,1.82B,2021,3.27M
Hungary,2018,39.43B,3.36B,2021,9.10M
Isle of Man,2018,362.00M,30.00M,2021,584.00K
Ireland,2018,27.14B,2.24B,2021,10.82M
Iceland,2018,18.49B,554.00M,,
Italy,,,,2021,89.40M
Jersey,2018,633.48M,53.43M,2018,45.00K
Kazakhstan,2018,80.33B,2.25B,2021,62.68M
Liechtenstein,2019,409.90M,,2021,3.00K
Lithuania,2018,10.40B,935.00M,2021,1.50M
Luxembourg,2018,6.42B,155.00M,2021,291.00K
Latvia,2018,6.66B,448.00M,2021,1.45M
Saint Martin (French part),,,,2021,312.00K
Monaco,,,,2021,18.00K
Moldova,2018,3.84B,441.00M,2021,4.77M
Macedonia [FYROM],2018,6.11B,994.81M,2021,2.37M
Malta,2018,2.39B,143.00M,2021,843.00K
Montenegro,2019,3.05B,492.90M,2021,1.19M
Martinique,2016,1.45B,113.50M,2021,1.44M
Mayotte,2016,301.80M,10.00M,2021,423.00K
Netherlands,2018,107.97B,5.33B,2021,38.53M
Norway,,,,2021,873.00K
Poland,2018,140.47B,8.89B,2021,154.07M
Portugal,2018,47.96B,5.06B,2021,11.10M
French Polynesia,2019,620.00M,70.00M,2021,376.00K
Réunion,2016,2.71B,235.10M,2021,2.46M
Romania,2018,45.57B,7.06B,2021,11.23M
Russia,2018,759.58B,103.12B,2021,552.53M
Saint Helena,2019,10.22M,1.69M,2021,7.00K
Saint Pierre and Miquelon,2019,49.24M,1.73M,2021,43.00K
Serbia,2018,28.05B,4.53B,2021,23.99M
Slovakia,2018,25.93B,1.24B,2021,7.43M
Slovenia,2018,13.72B,880.00M,2021,3.78M
Sweden,2018,127.56B,10.54B,2021,9.71M
Turks and Caicos Islands,2019,241.20M,12.50M,2021,207.00K
Turkey,2018,254.93B,31.64B,2021,130.22M
Ukraine,2018,118.66B,17.00B,2021,45.08M
Wallis and Futuna,2019,17.19M,845.00K,2021,16.00K
Kosovo,2018,4.40B,1.12B,,
Yugoslavia,1991,64.40B,7.40B,,
